filename,video-duration,fps,video-frames
v_00Dk03Jr70M.mp4,152.16666666666666,30.0,4565.0
v_00S8I27qDU4.mp4,37.3,30.0,1119.0
v_02V8Hz-M6BM.mp4,55.266666666666666,30.0,1658.0
v_02WlEYafQ9Q.mp4,79.96666666666667,30.0,2399.0
v_02yDi9BaDO8.mp4,77.7,30.0,2331.0
v__032TQam_mY.mp4,69.0,30.0,2070.0
v_03KTIy44yTo.mp4,96.2,30.0,2886.0
v_047dUA_39x8.mp4,81.06666666666666,30.0,2432.0
v_04LdesS7Pxk.mp4,185.1,30.0,5553.0
v_06dIgOEgYp0.mp4,237.63333333333333,30.0,7129.0
v_-06dWmCzbxY.mp4,65.46666666666667,30.0,1964.0
v_06eyqLosXjU.mp4,227.73333333333332,30.0,6832.0
v_06ofnvq2Hjs.mp4,203.33333333333334,30.0,6100.0
v_07GFy_Z7Nuc.mp4,60.06666666666667,30.0,1802.0
v_085A7Iv6xzA.mp4,160.9,30.0,4827.0
v_08afjR_3SwI.mp4,61.1,30.0,1833.0
v_08ItAtlb60Q.mp4,80.06666666666666,30.0,2402.0
v_08uNrWxxHGY.mp4,192.26666666666668,30.0,5768.0
v_08wKlw4a_so.mp4,25.233333333333334,30.0,757.0
v_09G6PvM5q9Y.mp4,203.13333333333333,30.0,6094.0
v_0_9_HIvxNMw.mp4,198.36666666666667,30.0,5951.0
v_09Kr5TQ9DHQ.mp4,122.2,30.0,3666.0
v_09MaNbzc2TA.mp4,143.53333333333333,30.0,4306.0
v_0acEl97ZBME.mp4,102.7,30.0,3081.0
v_0AjYz-s4Rek.mp4,81.8,30.0,2454.0
v_0-auIBOTx9E.mp4,151.56666666666666,30.0,4547.0
v_0bbL30qENMg.mp4,201.9,30.0,6057.0
v_0Bd8Js6Pf6E.mp4,68.03333333333333,30.0,2041.0
v_0bjHe_5nACw.mp4,124.6,30.0,3738.0
v_0bosp4-pyTM.mp4,115.56666666666666,30.0,3467.0
v_0_BvBpwDMpU.mp4,57.13333333333333,30.0,1714.0
v_0BXBfSWIR2k.mp4,6.6,30.0,198.0
v_0bXzFAKRoBU.mp4,31.1,30.0,933.0
v__0CqozZun3U.mp4,294.3,30.0,8829.0
v_0CTnYEE7rdo.mp4,148.23333333333332,30.0,4447.0
v_0cYB-WFrVxk.mp4,223.96666666666667,30.0,6719.0
v_0-CYG7bH54A.mp4,125.73333333333333,30.0,3772.0
v_0D9EmyHxhcg.mp4,194.43333333333334,30.0,5833.0
v_0DEF7Mp7ZP4.mp4,142.26666666666668,30.0,4268.0
v_0dgmG3h9RLA.mp4,78.26666666666667,30.0,2348.0
v_0dkIuFFlLRM.mp4,94.6,30.0,2838.0
v_0e7-mNDgIXw.mp4,195.36666666666667,30.0,5861.0
v_0EbXjHsMBmM.mp4,208.06666666666666,30.0,6242.0
v_0EDEA8dZeGo.mp4,134.13333333333333,30.0,4024.0
v_--0edUL8zmA.mp4,92.13333333333334,30.0,2764.0
v_0-F3q8Aj9Zk.mp4,207.33333333333334,30.0,6220.0
v_0fNBm46reNg.mp4,89.03333333333333,30.0,2671.0
v_0FTaJwbFdZI.mp4,203.6,30.0,6108.0
v_0gA_3BAxtVM.mp4,175.8,30.0,5274.0
v_0gkxTQGR6zI.mp4,38.03333333333333,30.0,1141.0
v_0gm_g4rYCic.mp4,143.53333333333333,30.0,4306.0
v_0_GpcrCLdag.mp4,84.0,30.0,2520.0
v_0GpNcvAVWVg.mp4,193.93333333333334,30.0,5818.0
v_0Gr4aKQzGYk.mp4,67.33333333333333,30.0,2020.0
v_0gvD2pktxxw.mp4,176.73333333333332,30.0,5302.0
v_0hfKWxuVT5k.mp4,236.8,30.0,7104.0
